,population,state,median income,unemployment rate,adults college educated,poverty rate,image_src
Minneapolis,425096,Minnesota,"74,473",4.6%,55.9%,17.2%,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Minneapolis_Skyline_looking_south.jpg/2000px-Minneapolis_Skyline_looking_south.jpg
Tulsa,411867,Oklahoma,"54,040",4.8%,34.3%,20.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Skyline_Tulsa.jpg/2000px-Skyline_Tulsa.jpg
Bakersfield,410647,California,"72,017",7.4%,23.1%,16.3%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/2009-0726-CA-Bakersfield-FoxTheater_%28cropped%29.jpg/2000px-2009-0726-CA-Bakersfield-FoxTheater_%28cropped%29.jpg
Tampa,398173,Florida,"71,089",4.3%,46.2%,16.3%,https://upload.wikimedia.org/wikipedia/commons/c/c4/Downtown_Tampa_Skyline.jpg
Wichita,396192,Kansas,"59,277",6.0%,33.1%,18.3%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Wichita_Skyline_2021.jpg/2000px-Wichita_Skyline_2021.jpg
Arlington,394602,Texas,"70,433",4.2%,31.0%,11.7%,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Arlington_June_2020_4_%28AT%26T_Stadium%29.jpg/2000px-Arlington_June_2020_4_%28AT%26T_Stadium%29.jpg
Aurora,177866,Illinois,"84,578",4.5%,36.5%,8.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Aurora%2C_Illinois_skyline.jpg/2000px-Aurora%2C_Illinois_skyline.jpg
New Orleans,369749,Louisiana,"52,322",6.8%,43.5%,22.2%,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/New_Orleans_skyline-02.jpg/2000px-New_Orleans_skyline-02.jpg
Cleveland,361607,Ohio,"37,351",8.9%,23.7%,31.8%,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/CLE_skyline.png/2000px-CLE_skyline.png
Anaheim,344461,California,"85,133",3.8%,28.3%,14.1%,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Sleeping_beauty_castle_dlr_2019.jpg/2000px-Sleeping_beauty_castle_dlr_2019.jpg
Honolulu,343421,Hawaii,"82,006",3.7%,40.9%,12.4%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Downtown_Honolulu_from_P%C5%ABowaina_%28Punchbowl_Crater%29.jpg/2000px-Downtown_Honolulu_from_P%C5%ABowaina_%28Punchbowl_Crater%29.jpg
Henderson,331415,Nevada,"81,695",4.6%,36.0%,10.1%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Lake_Las_Vegas_aerial_view.jpg/2000px-Lake_Las_Vegas_aerial_view.jpg
Stockton,321819,California,"76,231",6.8%,20.5%,14.8%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Downtown_Stockton_California.jpg/2000px-Downtown_Stockton_California.jpg
Riverside,320764,California,"81,228",4.9%,26.7%,12.8%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/MissionInn_SpanishWing.jpg/2000px-MissionInn_SpanishWing.jpg
Lexington,320347,Kentucky,"62,908",5.4%,48.1%,14.7%,https://upload.wikimedia.org/wikipedia/commons/5/52/Lexington_montage.jpg
Corpus Christi,316239,Texas,"60,958",4.8%,24.4%,16.8%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Corpus_Christi_bay.jpg/2000px-Corpus_Christi_bay.jpg
Orlando,316081,Florida,"65,354",4.1%,45.0%,14.2%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Lake_Eola_Park_in_Orlando_02.jpg/2000px-Lake_Eola_Park_in_Orlando_02.jpg
Irvine,313685,California,"123,003",4.6%,70.4%,11.2%,https://upload.wikimedia.org/wikipedia/commons/9/9f/Irvine_City_Hall.jpg
Cincinnati,309513,Ohio,"48,130",5.3%,40.8%,26.6%,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Downtown_Cincinnati_viewed_from_Mt._Adams_%28cropped%29.jpg/2000px-Downtown_Cincinnati_viewed_from_Mt._Adams_%28cropped%29.jpg
Santa Ana,308189,California,"79,351",4.7%,17.8%,11.3%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/California_-_Santora_Building_-_20180915152902_%28cropped%29.jpg/2000px-California_-_Santora_Building_-_20180915152902_%28cropped%29.jpg
Newark,305344,New Jersey,"49,688",9.2%,20.0%,24.0%,https://upload.wikimedia.org/wikipedia/commons/6/64/Newark_Skyline_Northwest_View.jpg
St. Paul,303176,Minnesota,"67,725",4.1%,45.0%,16.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/James_J._Hill_House_%28cropped%29.jpg/2000px-James_J._Hill_House_%28cropped%29.jpg
Pittsburgh,302898,Pennsylvania,"63,380",5.3%,50.4%,19.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Phipps_Conservatory_%26_Botanical_Gardens_132.jpg/2000px-Phipps_Conservatory_%26_Botanical_Gardens_132.jpg
Greensboro,301115,North Carolina,"55,120",3.2%,40.8%,21.9%,https://upload.wikimedia.org/wikipedia/commons/e/e5/Greensboro_Skyline.jpg
Lincoln,292627,Nebraska,"62,391",2.7%,40.6%,14.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Nebraska_State_Capitol_Building%2C_Lincoln_%2844016962335%29.jpg/2000px-Nebraska_State_Capitol_Building%2C_Lincoln_%2844016962335%29.jpg
Durham,291928,North Carolina,"78,105",2.9%,56.4%,11.2%,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Carolina_Theatre_%28Durham_Auditorium_1924%29.jpg/2000px-Carolina_Theatre_%28Durham_Auditorium_1924%29.jpg
